Bplus,Decay ID
B^{+}\rightarrow \rho^{0} \pi^{+} {\eta^{\prime}} \pi^{0},1325
B^{+}\rightarrow \omega \pi^{+} \pi^{0} \pi^{0},1326
B^{+}\rightarrow \omega \pi^{+} \eta \pi^{0},1327
B^{+}\rightarrow \omega \pi^{+} {\eta^{\prime}} \pi^{0},1328
B^{+}\rightarrow \rho^{-} \pi^{+} \pi^{+} \pi^{0},1329
B^{+}\rightarrow \rho^{-} \pi^{+} \pi^{+} \eta,1330
B^{+}\rightarrow \rho^{-} \pi^{+} \pi^{+} {\eta^{\prime}},1331
B^{+}\rightarrow \rho^{+} \pi^{+} \pi^{-} \pi^{0},1332
B^{+}\rightarrow \rho^{+} \pi^{+} \pi^{-} \eta,1333
B^{+}\rightarrow \rho^{+} \pi^{+} \pi^{-} {\eta^{\prime}},1334
B^{+}\rightarrow \rho^{+} \pi^{0} \pi^{0} \pi^{0},1335
B^{+}\rightarrow \rho^{+} \pi^{0} \eta \pi^{0},1336
B^{+}\rightarrow \rho^{+} \eta \eta \pi^{0},1337
B^{+}\rightarrow \rho^{+} \pi^{0} {\eta^{\prime}} \pi^{0},1338
B^{+}\rightarrow \pi^{-} \pi^{+} \pi^{+} \pi^{0} \pi^{0},1339
B^{+}\rightarrow \pi^{-} \pi^{+} \pi^{+} \eta \pi^{0},1340
B^{+}\rightarrow \pi^{-} \pi^{+} \pi^{+} {\eta^{\prime}} \pi^{0},1341
B^{+}\rightarrow \pi^{+} \pi^{0} \pi^{0} \pi^{0} \pi^{0},1342
B^{+}\rightarrow \pi^{+} \eta \pi^{0} \pi^{0} \pi^{0},1343
B^{+}\rightarrow \pi^{+} {\eta^{\prime}} \pi^{0} \pi^{0} \pi^{0},1344
B^{+}\rightarrow a_{1}^{+} \rho^{0},1345
B^{+}\rightarrow a_{1}^{+} \omega,1346
B^{+}\rightarrow a_{1}^{+} f_{0},1347
B^{+}\rightarrow a_{1}^{0} \pi^{+} \pi^{0},1348
B^{+}\rightarrow a_{1}^{0} \pi^{+} \eta,1349
B^{+}\rightarrow a_{1}^{0} \pi^{+} {\eta^{\prime}},1350
B^{+}\rightarrow a_{1}^{-} \pi^{+} \pi^{+},1351
B^{+}\rightarrow a_{1}^{+} \pi^{+} \pi^{-},1352
B^{+}\rightarrow a_{1}^{+} \pi^{0} \pi^{0},1353
B^{+}\rightarrow a_{1}^{+} \pi^{0} \eta,1354
B^{+}\rightarrow a_{1}^{+} \pi^{0} {\eta^{\prime}},1355
B^{+}\rightarrow \rho^{+} f_{0} \pi^{0},1356
B^{+}\rightarrow \rho^{+} f_{0} \eta,1357
B^{+}\rightarrow \rho^{+} f_{0} {\eta^{\prime}},1358
B^{+}\rightarrow \rho^{0} f_{0} \pi^{+},1359
B^{+}\rightarrow \omega f_{0} \pi^{+},1360
B^{+}\rightarrow \rho^{+} a_{0}^{0} \pi^{0},1361
B^{+}\rightarrow \rho^{+} a_{0}^{0} \eta,1362
B^{+}\rightarrow \rho^{+} a_{0}^{0} {\eta^{\prime}},1363
B^{+}\rightarrow \rho^{-} a_{0}^{+} \pi^{+},1364
B^{+}\rightarrow \rho^{0} a_{0}^{+} \pi^{0},1365
B^{+}\rightarrow \rho^{0} a_{0}^{+} \eta,1366
B^{+}\rightarrow \rho^{0} a_{0}^{+} {\eta^{\prime}},1367
B^{+}\rightarrow f_{0} \pi^{+} \pi^{-} \pi^{+},1368
B^{+}\rightarrow f_{0} \pi^{+} \pi^{0} \pi^{0},1369
